Title,Price,Rating,Reviews,Brand
"HP 2023 노트북 15 코어i5 인텔 13세대, Natural Silver, 512GB, 16GB, WIN11 Home, 15-fd0096tu",858260.0,4.5,1009,HP
"에이수스 2024 비보북Go 15 E1504FA-BQ476 15.6 라이젠5 Radeon, 쿨 실버, 512GB, 16GB, Free DOS",579000.0,5.0,761,Asus
"삼성노트북 한컴오피스 증정 i7 윈도우11 가성비 사무용 대학생 인강용 광시야각 동영상 업무용 노트북추천, 그레이, 코어i7, 512GB, 16GB, WIN11 Home, NT750XGR-A71A",1199000.0,5.0,1156,삼성
"베이직스 2022 베이직북 14 3세대 셀러론, White, 256GB, 8GB, WIN11 Pro, BB1422SS",382080.0,4.5,2071,others
"HP 2024 자비스 AI 노트북 15 코어Ultra5 인텔 14세대, Natural Silver, 512GB, 16GB, WIN11 Home, 15-fd1029TU",998990.0,4.5,48,HP
"레노버 2023 아이디어패드 슬림 3 15IAH8 코어i5 인텔 12세대, Arctic Grey, 256GB, 16GB, Free DOS, 83ER005YKR",698900.0,5.0,277,Lenovo
"레노버 2022 아이디어패드 슬림 1 15AMN7 15.6 라이젠3 라이젠 7000 시리즈, Cloud Grey (82VG), 256GB, 8GB, Free DOS, 82VG002EKR",488990.0,5.0,1371,Lenovo
"가성비 좋은 LG 사무용 노트북 i5 4세대 8G/240GB 15N540, WIN10, 8GB, 240GB, 실버블랙",195000.0,4.5,5,LG
"에이서 2024 니트로 V 16 라이젠7 라이젠 8000 시리즈 지포스 RTX 4050, ANV16-41-R584, Free DOS, 16GB, 512GB, 블랙",1129000.0,5.0,2,others
"베이직스 2023 베이직북 14 프로 코어i5 인텔 10세대, White, 256GB, 8GB, WIN11 Home, BP1423FW",564480.0,4.0,144,others
"삼성전자 갤럭시북4 프로 NT960XGQ-A51A 인텔 울트라5 색상선택 16인치 고해상도 AI 노트북 사무용 대학생 터치스크린 노트북, 문스톤그레이, NT960XGQ-A51AG, 코어Ultra5, 512GB, 16GB, WIN11 Home",1599000.0,5.0,346,삼성
LG 그램 14Z960 i5-6200 8G SSD256G Win10 가벼운 슬림한 노트북 980g,389560.0,4.0,85,LG
"Apple 2020 맥북 에어 13, 스페이스 그레이, M1, 256GB, 8GB, A2337",979000.0,5.0,13035,others
"삼성 LG HP 노트북 i5 가정 업무 게임 포토샵 주식용 Win10 무상1년 사은품, 실버/블랙, 삼성NT371B5J, i5 4200, 500GB, 8GB",286000.0,4.5,156,삼성
"LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10, 8GB, WIN10 Pro, 628GB, 코어i5, 화이트",499000.0,4.5,415,LG
